row_type,source_page,doi,axis_mapping,unit_assumption,target_analysis_rate_hz,max_lag_seconds,activity_threshold_deg_s,min_dynamic_samples,reliable_correlation_threshold,current_apDrone_control_latency_ms,current_apDrone_rc_smoothing_tau_ms,current_apDrone_rc_latency_ms,note,scenario,axis,file_axis_row_count,reliable_row_count,best_lag_ms_p10,best_lag_ms_p50,best_lag_ms_p90,abs_correlation_p50,abs_correlation_p90,gain_p50,mae_deg_s_p50,local_source_file,flight_filename,firmware_version,axis_index,duration_s,raw_sample_count,raw_sample_rate_hz,analysis_stride,analysis_sample_count,analysis_sample_rate_hz,setpoint_range_deg_s,gyro_range_deg_s,setpoint_std_deg_s,gyro_std_deg_s,best_lag_samples,best_lag_ms,best_correlation,best_gain_gyro_per_setpoint,dynamic_pair_count,zero_lag_correlation,zero_lag_gain_gyro_per_setpoint,zero_lag_dynamic_pair_count,best_lag_mae_deg_s,best_lag_median_abs_error_deg_s,best_lag_p95_abs_error_deg_s,best_lag_over_current_control_latency,best_lag_over_control_plus_rc_latency,reliable_for_lag_summary,current_apDrone_rc_frame_interval_ms,current_apDrone_esc_frame_interval_ms,current_apDrone_max_rate_deg_s
apdrone_control_response_method,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,"setpoint[0]/gyroADC[0]=roll, [1]=pitch, [2]=yaw",Betaflight Blackbox setpoint and gyroADC are degrees/s for these CSV exports.,500.0,0.08,30.0,250,0.35,10.0,12.0,10.0,Best-lag statistics use active samples only and maximize absolute correlation over +/-80 ms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,all,roll,21,16,19.950000000079626,23.952000000235785,37.93600000000197,0.928063325272031,0.9952843137610449,1.043613999029235,6.245374193351072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,all,pitch,21,15,10.778400000106103,13.972000000038065,16.35640000003491,0.9433201487164501,0.9971638242811274,1.0447216907807626,5.868046571798189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,all,yaw,21,6,5.988000000058946,15.968000000086136,45.90800000037376,0.9894612568199653,0.9974587572330679,1.006794210722791,4.247886914794264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,battery_max_power,roll,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,battery_max_power,pitch,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,battery_max_power,yaw,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,battery_normal_power,roll,5,5,21.556800000212206,23.952000000235785,25.149600000247574,0.9952684139120282,0.9970082121549879,1.0670835143108297,3.709332562843109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,battery_normal_power,pitch,5,5,10.778400000106103,11.976000000117892,11.976000000117892,0.9967084488980829,0.9979033747447392,1.0601099190002201,3.1394839718530103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,battery_normal_power,yaw,5,1,69.8600000006877,69.8600000006877,69.8600000006877,0.7561770703900774,0.7561770703900774,0.8989629603229393,6.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_control_response_axis_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,10.0,12.0,10.0,Summary excludes low-correlation/low-activity rows. Lags are not direct plant delay because Betaflight setpoint and gyro are both closed-loop log fields.,open_field,roll,5,5,-2.8009999998232615,27.944000000275082,61.08720000000574,0.7394727166360335,0.9297162124384752,1.0138899894016884,16.752913752913752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
